n	uuid	uuid_path	teiid	url
1	f7a52970-b8a3-11de-b6eb-000d606f5dc6	02203ad6-32f0-11de-992b-00145e5790ea/0bc23eb0-b8be-11de-83d1-000d606f5dc6/944bce70-c892-11de-8718-000d606f5dc6/f7a52970-b8a3-11de-b6eb-000d606f5dc6	PressMint-CZ_1914-12-30-944bce70-c892-11de-8718-000d606f5dc6.facs1	https://api.kramerius.mzk.cz/search/iiif/uuid:f7a52970-b8a3-11de-b6eb-000d606f5dc6/full/max/0/default.jpg
2	3aaaaf00-c7eb-11de-b904-000d606f5dc6	02203ad6-32f0-11de-992b-00145e5790ea/0bc23eb0-b8be-11de-83d1-000d606f5dc6/944bce70-c892-11de-8718-000d606f5dc6/3aaaaf00-c7eb-11de-b904-000d606f5dc6	PressMint-CZ_1914-12-30-944bce70-c892-11de-8718-000d606f5dc6.facs2	https://api.kramerius.mzk.cz/search/iiif/uuid:3aaaaf00-c7eb-11de-b904-000d606f5dc6/full/max/0/default.jpg
3	f7aa3280-b8a3-11de-b353-000d606f5dc6	02203ad6-32f0-11de-992b-00145e5790ea/0bc23eb0-b8be-11de-83d1-000d606f5dc6/944bce70-c892-11de-8718-000d606f5dc6/f7aa3280-b8a3-11de-b353-000d606f5dc6	PressMint-CZ_1914-12-30-944bce70-c892-11de-8718-000d606f5dc6.facs3	https://api.kramerius.mzk.cz/search/iiif/uuid:f7aa3280-b8a3-11de-b353-000d606f5dc6/full/max/0/default.jpg
