n	uuid	uuid_path	teiid	url
1	1c0e0e26-435f-11dd-b505-00145e5790ea	ae876087-435d-11dd-b505-00145e5790ea/b23d3ce2-435d-11dd-b505-00145e5790ea/b8cf84b6-435d-11dd-b505-00145e5790ea/1c0e0e26-435f-11dd-b505-00145e5790ea	PressMint-CZ_1861-01-01-b8cf84b6-435d-11dd-b505-00145e5790ea.facs1	https://api.kramerius.mzk.cz/search/iiif/uuid:1c0e0e26-435f-11dd-b505-00145e5790ea/full/max/0/default.jpg
2	1c0e5c47-435f-11dd-b505-00145e5790ea	ae876087-435d-11dd-b505-00145e5790ea/b23d3ce2-435d-11dd-b505-00145e5790ea/b8cf84b6-435d-11dd-b505-00145e5790ea/1c0e5c47-435f-11dd-b505-00145e5790ea	PressMint-CZ_1861-01-01-b8cf84b6-435d-11dd-b505-00145e5790ea.facs2	https://api.kramerius.mzk.cz/search/iiif/uuid:1c0e5c47-435f-11dd-b505-00145e5790ea/full/max/0/default.jpg
3	1c0e5c48-435f-11dd-b505-00145e5790ea	ae876087-435d-11dd-b505-00145e5790ea/b23d3ce2-435d-11dd-b505-00145e5790ea/b8cf84b6-435d-11dd-b505-00145e5790ea/1c0e5c48-435f-11dd-b505-00145e5790ea	PressMint-CZ_1861-01-01-b8cf84b6-435d-11dd-b505-00145e5790ea.facs3	https://api.kramerius.mzk.cz/search/iiif/uuid:1c0e5c48-435f-11dd-b505-00145e5790ea/full/max/0/default.jpg
4	1c0e5c49-435f-11dd-b505-00145e5790ea	ae876087-435d-11dd-b505-00145e5790ea/b23d3ce2-435d-11dd-b505-00145e5790ea/b8cf84b6-435d-11dd-b505-00145e5790ea/1c0e5c49-435f-11dd-b505-00145e5790ea	PressMint-CZ_1861-01-01-b8cf84b6-435d-11dd-b505-00145e5790ea.facs4	https://api.kramerius.mzk.cz/search/iiif/uuid:1c0e5c49-435f-11dd-b505-00145e5790ea/full/max/0/default.jpg
