n	uuid	uuid_path	teiid	url
1	99907c97-435f-11dd-b505-00145e5790ea	ae876087-435d-11dd-b505-00145e5790ea/b2b5c7a7-435d-11dd-b505-00145e5790ea/0a3623ed-435e-11dd-b505-00145e5790ea/99907c97-435f-11dd-b505-00145e5790ea	PressMint-CZ_1886-07-20-0a3623ed-435e-11dd-b505-00145e5790ea.facs1	https://api.kramerius.mzk.cz/search/iiif/uuid:99907c97-435f-11dd-b505-00145e5790ea/full/max/0/default.jpg
2	99907c98-435f-11dd-b505-00145e5790ea	ae876087-435d-11dd-b505-00145e5790ea/b2b5c7a7-435d-11dd-b505-00145e5790ea/0a3623ed-435e-11dd-b505-00145e5790ea/99907c98-435f-11dd-b505-00145e5790ea	PressMint-CZ_1886-07-20-0a3623ed-435e-11dd-b505-00145e5790ea.facs2	https://api.kramerius.mzk.cz/search/iiif/uuid:99907c98-435f-11dd-b505-00145e5790ea/full/max/0/default.jpg
3	99907c99-435f-11dd-b505-00145e5790ea	ae876087-435d-11dd-b505-00145e5790ea/b2b5c7a7-435d-11dd-b505-00145e5790ea/0a3623ed-435e-11dd-b505-00145e5790ea/99907c99-435f-11dd-b505-00145e5790ea	PressMint-CZ_1886-07-20-0a3623ed-435e-11dd-b505-00145e5790ea.facs3	https://api.kramerius.mzk.cz/search/iiif/uuid:99907c99-435f-11dd-b505-00145e5790ea/full/max/0/default.jpg
4	99907c9a-435f-11dd-b505-00145e5790ea	ae876087-435d-11dd-b505-00145e5790ea/b2b5c7a7-435d-11dd-b505-00145e5790ea/0a3623ed-435e-11dd-b505-00145e5790ea/99907c9a-435f-11dd-b505-00145e5790ea	PressMint-CZ_1886-07-20-0a3623ed-435e-11dd-b505-00145e5790ea.facs4	https://api.kramerius.mzk.cz/search/iiif/uuid:99907c9a-435f-11dd-b505-00145e5790ea/full/max/0/default.jpg
5	9990a3ab-435f-11dd-b505-00145e5790ea	ae876087-435d-11dd-b505-00145e5790ea/b2b5c7a7-435d-11dd-b505-00145e5790ea/0a3623ed-435e-11dd-b505-00145e5790ea/9990a3ab-435f-11dd-b505-00145e5790ea	PressMint-CZ_1886-07-20-0a3623ed-435e-11dd-b505-00145e5790ea.facs5	https://api.kramerius.mzk.cz/search/iiif/uuid:9990a3ab-435f-11dd-b505-00145e5790ea/full/max/0/default.jpg
6	994653f2-435f-11dd-b505-00145e5790ea	ae876087-435d-11dd-b505-00145e5790ea/b2b5c7a7-435d-11dd-b505-00145e5790ea/0a3623ed-435e-11dd-b505-00145e5790ea/994653f2-435f-11dd-b505-00145e5790ea	PressMint-CZ_1886-07-20-0a3623ed-435e-11dd-b505-00145e5790ea.facs6	https://api.kramerius.mzk.cz/search/iiif/uuid:994653f2-435f-11dd-b505-00145e5790ea/full/max/0/default.jpg
