id_issue	id_volume	id_copy	title	date	languages	pages	words
5abfd8d0-b9f1-11e9-8fdf-005056827e52	768b1570-c4d7-11e9-b223-005056827e52	f2413420-c8eb-11e9-bfd1-5ef3fc9bb22f	Národní nowiny	1848-04-05	cze	4	8038
5abfd8d0-b9f1-11e9-8fdf-005056827e52	768b1570-c4d7-11e9-b223-005056827e52	392f65d0-c8ee-11e9-bfd1-5ef3fc9bb22f	Národní nowiny	1848-04-06	cze	4	7771
5abfd8d0-b9f1-11e9-8fdf-005056827e52	768b1570-c4d7-11e9-b223-005056827e52	888913c0-c8ed-11e9-bfd1-5ef3fc9bb22f	Národní nowiny	1848-04-07	cze	4	7940
5abfd8d0-b9f1-11e9-8fdf-005056827e52	768b1570-c4d7-11e9-b223-005056827e52	04196bd0-c8ed-11e9-bfd1-5ef3fc9bb22f	Národní nowiny	1848-04-08	cze	4	7740
5abfd8d0-b9f1-11e9-8fdf-005056827e52	768b1570-c4d7-11e9-b223-005056827e52	cdb44010-c8ec-11e9-bfd1-5ef3fc9bb22f	Národní nowiny	1848-04-09	cze	4	8032
5abfd8d0-b9f1-11e9-8fdf-005056827e52	768b1570-c4d7-11e9-b223-005056827e52	5becdf20-c8ef-11e9-bfd1-5ef3fc9bb22f	Národní nowiny	1848-04-11	cze	4	7742
5abfd8d0-b9f1-11e9-8fdf-005056827e52	768b1570-c4d7-11e9-b223-005056827e52	fe2b8f30-c8ee-11e9-bfd1-5ef3fc9bb22f	Národní nowiny	1848-04-12	cze	4	7684
5abfd8d0-b9f1-11e9-8fdf-005056827e52	768b1570-c4d7-11e9-b223-005056827e52	8c2c35b0-c8ee-11e9-bfd1-5ef3fc9bb22f	Národní nowiny	1848-04-13	cze	4	7770
5abfd8d0-b9f1-11e9-8fdf-005056827e52	768b1570-c4d7-11e9-b223-005056827e52	87892890-c8f0-11e9-bfd1-5ef3fc9bb22f	Národní nowiny	1848-04-14	cze	4	7636
5abfd8d0-b9f1-11e9-8fdf-005056827e52	768b1570-c4d7-11e9-b223-005056827e52	3b624400-c8f1-11e9-bfd1-5ef3fc9bb22f	Národní nowiny	1848-04-15	cze	4	8143
